method,geoid,indicator,anchor_year,target_year,horizon,actual,projected,ci90_low,ci90_high,sample_se,forecast_se,abs_pct_err,in_ci
linear_log,15001,B25064_001E,2021,2023,2,1492.00,1363.59,1210.47,1516.71,57.43,73.25,0.086067,1
linear_log,15001,B25064_001E,2022,2024,2,1645.00,1387.62,1211.85,1563.39,79.00,71.95,0.156462,0
linear_log,15003,B25064_001E,2015,2017,2,1712.00,1781.04,1723.33,1838.74,31.07,16.29,0.040325,0
linear_log,15003,B25064_001E,2016,2018,2,1726.00,1779.77,1684.36,1875.18,31.37,48.79,0.031152,1
linear_log,15003,B25064_001E,2017,2019,2,1774.00,1829.13,1741.50,1916.77,26.63,46.14,0.031079,1
linear_log,15003,B25064_001E,2019,2021,2,1884.00,1899.75,1799.50,2000.00,37.11,48.35,0.008359,1
linear_log,15003,B25064_001E,2021,2023,2,2033.00,2001.85,1908.38,2095.31,29.71,48.43,0.015324,1
linear_log,15003,B25064_001E,2022,2024,2,2001.00,2044.00,1950.12,2137.89,29.86,48.64,0.021492,1
linear_log,15007,B25064_001E,2015,2017,2,1416.00,1205.70,899.82,1511.57,72.71,171.14,0.148518,1
linear_log,15007,B25064_001E,2016,2018,2,1346.00,1329.83,991.65,1668.00,78.04,190.19,0.012017,1
linear_log,15007,B25064_001E,2017,2019,2,1326.00,1416.39,1071.29,1761.49,85.74,191.47,0.068167,1
linear_log,15007,B25064_001E,2019,2021,2,1639.00,1425.31,1079.73,1770.88,122.84,170.41,0.130380,1
linear_log,15007,B25064_001E,2021,2023,2,1816.00,1581.21,1130.56,2031.85,191.19,196.20,0.129292,1
linear_log,15007,B25064_001E,2022,2024,2,1866.00,1744.67,1313.74,2175.59,114.27,235.73,0.065024,1
linear_log,15009,B25064_001E,2015,2017,2,1421.00,1390.16,1191.08,1589.24,41.72,113.60,0.021705,1
linear_log,15009,B25064_001E,2016,2018,2,1669.00,1339.65,1139.75,1539.55,50.01,110.75,0.197335,0
linear_log,15009,B25064_001E,2017,2019,2,1615.00,1410.16,1205.54,1614.78,47.66,114.90,0.126834,0
linear_log,15009,B25064_001E,2019,2021,2,1592.00,1661.69,1355.89,1967.49,69.43,172.45,0.043775,1
linear_log,15009,B25064_001E,2021,2023,2,1828.00,1734.70,1417.37,2052.04,87.44,171.96,0.051037,1
linear_log,15009,B25064_001E,2022,2024,2,1944.00,1777.39,1475.86,2078.93,74.76,167.37,0.085702,1
linear_log,15001,B25077_001E,2015,2017,2,344800.00,308588.70,267501.88,349675.52,10803.17,22519.58,0.105021,1
linear_log,15001,B25077_001E,2016,2018,2,368200.00,321209.98,281054.13,361365.83,9489.25,22490.97,0.127621,0
linear_log,15001,B25077_001E,2017,2019,2,381000.00,339464.39,295018.36,383910.41,10816.01,24759.49,0.109017,1
linear_log,15001,B25077_001E,2019,2021,2,472800.00,382623.02,329437.54,435808.49,11068.84,30377.83,0.190730,0
linear_log,15001,B25077_001E,2021,2023,2,528800.00,445752.23,362443.07,529061.39,14997.56,48372.25,0.157049,1
linear_log,15001,B25077_001E,2022,2024,2,580100.00,505076.84,390724.25,619429.43,21668.05,66051.99,0.129328,1
linear_log,15003,B25077_001E,2015,2017,2,680200.00,642765.30,602266.37,683264.23,4765.91,24153.71,0.055035,1
linear_log,15003,B25077_001E,2016,2018,2,701200.00,680753.88,634306.07,727201.69,5959.71,27599.63,0.029159,1
linear_log,15003,B25077_001E,2017,2019,2,739700.00,712891.57,665841.31,759941.83,6403.05,27876.05,0.036242,1
linear_log,15003,B25077_001E,2019,2021,2,781600.00,777037.68,727967.01,826108.35,9265.27,28354.81,0.005837,1
linear_log,15003,B25077_001E,2021,2023,2,899300.00,834844.13,784922.61,884765.66,9629.33,28779.21,0.071673,0
linear_log,15003,B25077_001E,2022,2024,2,920600.00,893184.79,826825.03,959544.55,8152.30,39507.95,0.029780,1
linear_log,15007,B25077_001E,2015,2017,2,560600.00,492557.29,431500.61,553613.97,15356.57,33790.71,0.121375,0
linear_log,15007,B25077_001E,2016,2018,2,627800.00,538891.87,453079.11,624704.62,24703.39,45945.77,0.141619,0
linear_log,15007,B25077_001E,2017,2019,2,622300.00,566343.88,480836.62,651851.14,23687.66,46269.05,0.089918,1
linear_log,15007,B25077_001E,2019,2021,2,695100.00,646696.51,550509.71,742883.30,14593.07,56621.93,0.069635,1
linear_log,15007,B25077_001E,2021,2023,2,888500.00,713536.60,607290.15,819783.04,18345.76,61927.21,0.196920,0
linear_log,15007,B25077_001E,2022,2024,2,939500.00,806649.50,650758.67,962540.34,22083.04,92157.59,0.141406,1
linear_log,15009,B25077_001E,2015,2017,2,641500.00,513340.09,387823.83,638856.34,15163.43,74779.78,0.199782,0
linear_log,15009,B25077_001E,2016,2018,2,629500.00,565225.43,426132.09,704318.78,12774.70,83584.65,0.102104,1
linear_log,15009,B25077_001E,2017,2019,2,697900.00,618205.68,466465.50,769945.85,12606.44,91377.78,0.114192,1
linear_log,15009,B25077_001E,2019,2021,2,744400.00,691879.69,535075.13,848684.24,16841.90,93822.27,0.070554,1
linear_log,15009,B25077_001E,2021,2023,2,934500.00,760195.99,591661.98,928729.99,24979.84,99360.34,0.186521,0
linear_log,15009,B25077_001E,2022,2024,2,1061300.00,861270.19,647027.42,1075512.96,20378.71,128634.54,0.188476,1
